city1,city2
Greenock,Glasgow
Glasgow,Preston
Glasgow,Edinburgh
Preston,Birmingham
Birmingham,Southampton
Birmingham,Cambridge
Le Havre,Paris
Le Havre,Amiens
Paris,Calais
Paris,Chaumont
Paris,Reims
Paris,Le Mans
Paris,Lyon
Paris,Orléans
Paris,Brussels
Orléans,Bordeaux
Orléans,Tours
Orléans,Montargis
Orléans,Toulouse
Bordeaux,Angoulême
Bordeaux,Toulouse
Bordeaux,Clermont-Ferrand
Bordeaux,San Sebastián
San Sebastián,Bilbao
San Sebastián,Toulouse
San Sebastián,Burgos
Burgos,Madrid
Burgos,Valladolid
Madrid,Seville
Madrid,Barcelona
Madrid,Valencia
Madrid,Lisbon
Seville,Algeciras
Seville,Huelva
Seville,Mérida
Algeciras,Málaga
Inverness,Perth
Perth,Edinburgh
Edinburgh,Newcastle
Newcastle,London
Newcastle,Carlisle
London,Northampton
London,Folkestone
London,Bristol
London,Colchester
Folkestone,Dover
Calais,Bruges
Calais,Rouen
Lyon,Orange
Lyon,Clermont-Ferrand
Lyon,Chambéry
Lyon,Pont-d'Ain
Lyon,Grenoble
Orange,Narbonne
Orange,Marseille
Narbonne,Girona
Girona,Barcelona
Barcelona,Toulouse
Barcelona,Tarragona
Tarragona,Castellón de la Plana
Castellón de la Plana,Valencia
Valencia,Alicante
Alicante,Murcia
Murcia,Almería
Almería,Málaga
Málaga,Granada
Hook of Holland,The Hague
Hook of Holland,Rotterdam
Rotterdam,Ludwigshafen
Rotterdam,Eindhoven
Eindhoven,Maastricht
Eindhoven,Antwerp
Eindhoven,Venlo
Eindhoven,Breda
Maastricht,Liège
Liège,Antwerp
Liège,Charleville-Mézières
Liège,Namur
Liège,Eupen
Liège,Leuven
Liège,Bastogne
Liège,St. Vith
Bastogne,Arlon
Arlon,Luxembourg
Luxembourg,Metz
Luxembourg,St. Vith
Luxembourg,Charleville-Mézières
Luxembourg,Trier
Metz,Brussels
Metz,Saarbrücken
Metz,Reims
Metz,Saint-Avold
Metz,Geneva
Metz,Lausanne
Saint-Avold,Strasbourg
Strasbourg,Mulhouse
Strasbourg,Appenweier
Mulhouse,Basel
Mulhouse,Belfort
Mulhouse,Chaumont
Mulhouse,Remiremont
Basel,Olten
Basel,Waldshut
Basel,Offenburg
Basel,Zürich
Olten,Bern
Olten,Lucerne
Bern,Lausanne
Bern,Belfort
Bern,Martigny
Lausanne,Geneva
Lausanne,Martigny
Geneva,Mont Blanc
Geneva,Mâcon
Geneva,Chambéry
Mont Blanc,Aosta
Aosta,Ivrea
Aosta,Martigny
Ivrea,Vercelli
Ivrea,Turin
Vercelli,Alessandria
Alessandria,Tortona
Alessandria,Asti
Alessandria,Turin
Alessandria,Genoa
Genoa,Tortona
Genoa,Nice
Genoa,Rome
Bastia,Porto-Vecchio
Porto-Vecchio,Bonifacio
Porto Torres,Sassari
Sassari,Olbia
Sassari,Cagliari
Amsterdam,Groningen
Amsterdam,Brussels
Amsterdam,Amersfoort
Amsterdam,Utrecht
Utrecht,Arnhem
Utrecht,Gouda
Utrecht,Amersfoort
Utrecht,Gorinchem
Arnhem,Emmerich
Emmerich,Oberhausen
Oberhausen,Cologne
Oberhausen,Dortmund
Oberhausen,Venlo
Cologne,Frankfurt am Main
Cologne,Aachen
Cologne,Olpe
Cologne,Sarreguemines
Cologne,Bremen
Frankfurt am Main,Aschaffenburg
Frankfurt am Main,Wiesbaden
Frankfurt am Main,Gießen
Frankfurt am Main,Heidelberg
Frankfurt am Main,Mannheim
Heidelberg,Karlsruhe
Karlsruhe,Offenburg
Karlsruhe,Stuttgart
Karlsruhe,Appenweier
Offenburg,Donaueschingen
Lucerne,Altdorf
Altdorf,Zürich
Altdorf,Gotthard Pass
Gotthard Pass,Bellinzona
Bellinzona,San Bernardino
Bellinzona,Lugano
Lugano,Chiasso
Chiasso,Como
Como,Milan
Milan,Piacenza
Milan,Turin
Milan,Tortona
Milan,Brescia
Milan,Gravellona Toce
Piacenza,Parma
Parma,La Spezia
Parma,Modena
Modena,Florence
Modena,Verona
Modena,Bologna
Florence,Rome
Florence,Migliarino
Rome,Pescara
Rome,San Cesareo
Karesuvanto,Karesuando
Karesuando,Arvidsjaur
Arvidsjaur,Östersund
Östersund,Trondheim
Östersund,Sundsvall
Östersund,Mora
Mora,Säffle
Säffle,Gothenburg
Gothenburg,Halmstad
Gothenburg,Örebro
Gothenburg,Oslo
Frederikshavn,Aalborg
Aalborg,Aarhus
Aalborg,Nørresundby
Aarhus,Vejle
Vejle,Kolding
Kolding,Flensburg
Flensburg,Hamburg
Hamburg,Hanover
Hamburg,Berlin
Hamburg,Bremen
Hamburg,Lübeck
Hanover,Bad Oeynhausen
Hanover,Braunschweig
Hanover,Göttingen
Göttingen,Kassel
Kassel,Fulda
Kassel,Dortmund
Fulda,Würzburg
Würzburg,Nuremberg
Würzburg,Aschaffenburg
Würzburg,Stuttgart
Würzburg,Ulm
Nuremberg,Heilbronn
Nuremberg,Regensburg
Nuremberg,Bayreuth
Nuremberg,Munich
Nuremberg,Rozvadov
Munich,Rosenheim
Munich,Salzburg
Munich,Ulm
Munich,Lindau
Munich,Deggendorf
Munich,Garmisch-Partenkirchen
Munich,Braunau am Inn
Rosenheim,Wörgl
Rosenheim,Bad Reichenhall
Wörgl,St. Johann in Tirol
Wörgl,Innsbruck
Innsbruck,Brenner
Innsbruck,Telfs
Innsbruck,Lauterach
Innsbruck,Imst
Innsbruck,Seefeld
Brenner,Fortezza
Fortezza,Innichen
Fortezza,Bolzano
Bolzano,Trento
Trento,Verona
Verona,Mestre
Verona,Brescia
Bologna,Cesena
Cesena,Perugia
Cesena,Ravenna
Cesena,Rimini
Perugia,Fiano Romano
Fiano Romano,Naples
Naples,Salerno
Naples,Avellino
Salerno,Avellino
Salerno,Sicignano degli Alburni
Sicignano degli Alburni,Cosenza
Sicignano degli Alburni,Potenza
Cosenza,Villa San Giovanni
Cosenza,Crotone
Messina,Catania
Messina,Palermo
Catania,Enna
Catania,Siracusa
Siracusa,Gela
Gela,Mazara del Vallo
Helsingør,Copenhagen
Copenhagen,Køge
Copenhagen,Malmö
Copenhagen,Esbjerg
Køge,Vordingborg
Vordingborg,Farø
Farø,Rødby
Farø,Nykøbing Falster
Nykøbing Falster,Gedser
Rostock,Lübeck
Rostock,Sassnitz
Rostock,Berlin
Berlin,Lübbenau
Berlin,Szczecin
Berlin,Świebodzin
Berlin,Magdeburg
Berlin,Leipzig
Berlin,Neubrandenburg
Lübbenau,Dresden
Lübbenau,Cottbus
Dresden,Ústí nad Labem
Dresden,Chemnitz
Dresden,Görlitz
Ústí nad Labem,Prague
Prague,Hradec Králové
Prague,Tábor
Prague,Mladá Boleslav
Prague,Jihlava
Prague,Plzeň
Prague,Karlovy Vary
Tábor,Linz
Linz,Sattledt
Linz,Sankt Pölten
Linz,Wels
Linz,Salzburg
Salzburg,Villach
Salzburg,Bad Reichenhall
Salzburg,Sattledt
Salzburg,Lofer
Villach,Spittal an der Drau
Villach,Klagenfurt
Villach,Tarvisio
Villach,Karavanke Tunnel
Tarvisio,Udine
Udine,Palmanova
Palmanova,Mestre
Palmanova,Trieste
Mestre,Ravenna
Rimini,Fano
Fano,Ancona
Fano,Sansepolcro
Ancona,Pescara
Pescara,Canosa di Puglia
Canosa di Puglia,Benevento
Canosa di Puglia,Bari
Bari,Brindisi
Bari,Taranto
Brindisi,Taranto
Igoumenitsa,Preveza
Igoumenitsa,Ioannina
Preveza,Rhion
Rhion,Patras
Rhion,Aigio
Patras,Pyrgos
Pyrgos,Kalamata
Kalamata,Tripoli
Malmö,Ystad
Malmö,Helsingborg
