Source,Target,weight
Armenia,Azerbaijan,0.06122449
Andorra,Bosnia & Herzegovina,0.0625
France,Slovakia,0.071428571
Andorra,F.Y.R. Macedonia,0.071428571
Montenegro,Germany,0.086956522
Montenegro,United Kingdom,0.086956522
F.Y.R. Macedonia,Spain,0.135135135
Austria,Montenegro,0.15
Andorra,Croatia,0.166666667
Monaco,Poland,0.166666667
Belarus,Monaco,0.166666667
Andorra,Montenegro,0.166666667
North Macedonia,Greece,0.166666667
Serbia,Turkey,0.176470588
Montenegro,Georgia,0.181818182
Montenegro,Lithuania,0.1875
Bosnia & Herzegovina,Cyprus,0.214285714
Montenegro,Poland,0.222222222
Belarus,Spain,0.236842105
Armenia,Ireland,0.242424242
Belarus,Germany,0.243902439
Belarus,United Kingdom,0.243902439
Montenegro,Ireland,0.25
Belgium,North Macedonia,0.25
Andorra,Armenia,0.272727273
Montenegro,Finland,0.285714286
F.Y.R. Macedonia,Iceland,0.294117647
Lithuania,Albania,0.3
Montenegro,Latvia,0.304347826
Latvia,Turkey,0.307692308
Estonia,Montenegro,0.307692308
Bosnia & Herzegovina,Latvia,0.310344828
Latvia,Albania,0.314814815
Slovakia,Turkey,0.333333333
Bosnia & Herzegovina,Lithuania,0.34375
Cyprus,Turkey,0.360655738
Andorra,Belarus,0.363636364
F.Y.R. Macedonia,Germany,0.372093023
F.Y.R. Macedonia,Lithuania,0.372093023
Finland,Slovakia,0.4
F.Y.R. Macedonia,Ireland,0.4
Monaco,Moldova,0.4
Montenegro,Spain,0.407407407
Andorra,Germany,0.416666667
Georgia,Spain,0.416666667
Monaco,F.Y.R. Macedonia,0.444444444
Armenia,Lithuania,0.444444444
F.Y.R. Macedonia,Poland,0.448275862
Estonia,Albania,0.466666667
Bosnia & Herzegovina,Estonia,0.477272727
France,Morocco,0.5
Luxembourg,Slovenia,0.5
Slovakia,Spain,0.5
Slovakia,The Netherlands,0.5
Andorra,Serbia & Montenegro,0.5
Albania,Georgia,0.5
Bosnia & Herzegovina,Georgia,0.5
Ireland,Serbia,0.5
Latvia,Serbia,0.5
Macedonia,The Netherlands,0.5
San Marino,Germany,0.535714286
Lithuania,Turkey,0.545454545
Andorra,United Kingdom,0.545454545
Slovakia,Switzerland,0.571428571
F.Y.R. Macedonia,France,0.575
Georgia,Ireland,0.583333333
Belarus,Ireland,0.609756098
Albania,Czech Republic,0.612903226
Bosnia & Herzegovina,Iceland,0.613636364
Montenegro,Switzerland,0.615384615
Bosnia & Herzegovina,Hungary,0.625
Lithuania,Spain,0.62745098
Poland,Turkey,0.633333333
Belgium,Montenegro,0.642857143
San Marino,Austria,0.642857143
Serbia,United Kingdom,0.65
Czech Republic,Germany,0.652173913
Malta,Monaco,0.666666667
Andorra,Belgium,0.666666667
Andorra,Cyprus,0.666666667
F.Y.R. Macedonia,Georgia,0.666666667
North Macedonia,Lithuania,0.666666667
F.Y.R. Macedonia,United Kingdom,0.682926829
Azerbaijan,Germany,0.682926829
San Marino,Belarus,0.705882353
Belarus,France,0.707317073
Monaco,Albania,0.714285714
F.Y.R. Macedonia,Portugal,0.71875
Albania,Ireland,0.720930233
Armenia,Denmark,0.722222222
Andorra,Estonia,0.727272727
Austria,F.Y.R. Macedonia,0.742857143
Estonia,F.Y.R. Macedonia,0.75
Montenegro,The Netherlands,0.75
Montenegro,France,0.76
Armenia,United Kingdom,0.769230769
Slovenia,Armenia,0.774193548
Lithuania,Slovakia,0.777777778
Belgium,Croatia,0.78
Azerbaijan,Finland,0.795454545
Bosnia & Herzegovina,Portugal,0.8
F.Y.R. Macedonia,Latvia,0.8
Finland,Georgia,0.815789474
Andorra,Switzerland,0.818181818
Germany,Moldova,0.818181818
Moldova,Andorra,0.818181818
Greece,Latvia,0.82
Belgium,F.Y.R. Macedonia,0.825
Denmark,F.Y.R. Macedonia,0.829268293
Serbia,Spain,0.829268293
